segment_id,session_id,source_file,sample_count,duration_s,alignment_status,alignment_confidence,alignment_available,heading_observed,stationary_fraction,gyro_bias_magnitude_rps,accel_bias_magnitude_mps2,seconds_per_sample,error,final_speed_mps,max_speed_mps,path_length_m,integrated_steps,skipped_steps,irregular_steps,lag_s,lag_accepted,zero_lag_speed_rmse_mps,best_lag_speed_rmse_mps,zero_lag_position_rmse_m,best_lag_position_rmse_m,final_horizontal_error_m,position_drift_mps,yaw_offset_removed_deg
6cf4b689fa81:000,VTB11,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb11.csv,361,36.0,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,6.953324098559225e-05,,21.04,24.98,507.7,360,0,0,-13.8,True,10.124,11.384,256.2,140.8,299.8,8.3273,
6d3b6e43afbe:000,VTB8,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb8.csv,668,66.7,SUCCESS,0.1908,True,True,0.0,0.0,0.0,5.989550897979852e-05,,65.186,80.652,4165.6,667,0,0,-11.8,True,47.178,51.75,2084.8,2385.0,3869.9,58.0189,
71453d0af0d3:000,M,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-M.csv,105974,10599.623,SUCCESS,0.0949,True,False,0.1117,0.001249,0.039617,4.621641817795347e-05,,5524.34,5525.029,39965617.0,105971,2,0,0.0,False,4016.527,4016.527,1887585.8,1887585.8,3231613.1,304.88,129.51
751e3a387bd3:000,VW9,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw9.csv,552,55.101,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,5.920271739697732e-05,,29.918,50.701,1488.8,551,0,0,11.4,True,29.47,28.018,368.3,205.8,498.5,9.047,
7763df94e92d:000,A6,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A6.csv,86034,8537.402,INSUFFICIENT_MOTION,0.0,False,False,0.092,6.6e-05,0.024723,4.140969849117633e-05,,521.752,521.77,2384504.8,86029,4,869,0.0,False,295.292,295.292,859379.5,859379.5,1760921.3,206.2596,-99.41
77dfd320c66a:000,VW16A,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw16a.csv,5879,587.799,SUCCESS,0.7732,True,False,0.0267,0.003591,0.039182,4.167006293667832e-05,,241.316,243.791,62113.8,5878,0,0,0.0,False,121.14,121.14,14776.3,14776.3,38828.6,66.0576,135.93
79a3cb847acd:000,VTA25,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta25.csv,646,64.498,INSUFFICIENT_MOTION,0.0,False,True,0.0124,0.0,0.0,5.562213621997554e-05,,89.774,95.613,2581.2,645,0,0,-2.4,True,44.886,48.435,1069.7,1178.9,2612.9,40.5106,
79d0af64caf8:000,VW14C,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw14c.csv,15826,1582.5,SUCCESS,0.0985,True,False,0.0876,0.000708,0.059108,4.9785012005974027e-05,,517.033,518.788,603650.4,15825,0,0,0.0,False,409.497,409.497,202724.4,202724.4,369472.9,233.4742,-78.66
7a8bd69ead89:000,VTB3,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb3.csv,8240,823.9,SUCCESS,0.2209,True,False,0.2688,0.004616,0.048665,4.215359223203494e-05,,71.344,109.951,76663.7,8239,0,0,-12.0,True,93.634,94.207,34822.2,35292.1,59851.1,72.6437,102.09
7aff2d8777e0:000,VTA5,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta5.csv,307,30.6,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,7.628501626679595e-05,,27.694,27.917,350.1,306,0,0,1.8,True,9.016,7.735,265.6,261.3,471.7,15.4149,
